sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:14:26.122809+00:00;P1;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:14:26.122809+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:14:38.742785+00:00;humidity;48.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:14:38.742785+00:00;temperature;35.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:17:16.258436+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:17:16.258436+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:17:16.258436+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:17:28.714020+00:00;humidity;48.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:17:28.714020+00:00;temperature;35.10
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:20:06.059689+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:20:06.059689+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:20:06.059689+00:00;P0;8.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:20:18.436172+00:00;humidity;49.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:20:18.436172+00:00;temperature;35.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:22:55.758585+00:00;P2;10.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:22:55.758585+00:00;P1;11.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:22:55.758585+00:00;P0;7.33
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:23:08.196526+00:00;humidity;49.60
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:23:08.196526+00:00;temperature;35.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:25:45.658248+00:00;P2;13.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:25:45.658248+00:00;P1;13.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:25:45.658248+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:25:58.095144+00:00;humidity;49.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:25:58.095144+00:00;temperature;35.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:28:35.633204+00:00;P2;9.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:28:35.633204+00:00;P1;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:28:35.633204+00:00;P0;6.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:28:48.224021+00:00;humidity;50.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:28:48.224021+00:00;temperature;35.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:31:25.913145+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:31:25.913145+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:31:25.913145+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:31:38.623259+00:00;humidity;49.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:31:38.623259+00:00;temperature;35.70
